location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,living_meters,kitchen_meters
Москва,sale,flat,2,59,4,94.9,,Можайский,,,Давыдково,Веер ЖК,2028,"54,6 м²",-1
Москва,sale,flat,2,59,4,94.9,,Можайский,,,Давыдково,Веер ЖК,2028,"54,6 м²",-1
Москва,sale,flat,4,29,1,57.9,33900000.0,Филевский парк,Береговой проезд,3,Фили,Береговой,-1,12 м²,32 м²
Москва,sale,flat,4,29,1,57.9,33900000.0,Филевский парк,Береговой проезд,3,Фили,Береговой,-1,12 м²,32 м²
Москва,sale,flat,4,29,1,57.9,33900000.0,Филевский парк,Береговой проезд,3,Фили,Береговой,-1,12 м²,32 м²
Москва,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,2023,109 м²,10 м²
Москва,sale,flat,13,16,4,158.0,180000000.0,Раменки,Воробьевское шоссе,4С1,Поклонная,Воробьёв Дом,2017,109 м²,15 м²
Москва,sale,flat,43,47,3,79.1,32036687.0,Обручевский,,,Воронцовская,Архитектор ЖК,2024,"39,8 м²","17,8 м²"
Москва,sale,flat,2,6,3,80.0,82000000.0,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA,2019,-1,-1
Москва,sale,flat,15,19,3,107.0,98900000.0,Раменки,Ломоносовский проспект,25к5,Университет,Dominion,-1,92 м²,8 м²
Москва,sale,flat,25,26,3,63.3,29505510.0,Нагатино-Садовники,Нагатинская набережная,,Нагатинская,Level Нагатинская,2024,"25,5 м²",18 м²
Москва,sale,flat,2,10,4,136.1,152135071.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК,2024,-1,-1
Москва,sale,flat,22,22,1,17.2,8780000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,,1980,"9,2 м²",3 м²
Москва,sale,flat,4,15,1,32.4,14000000.0,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер,2017,18 м²,6 м²
Москва,sale,flat,24,37,1,35.0,12112893.0,Нижегородский,,,Нижегородская,Левел Нижегородская ЖК,2026,"11,8 м²",-1
Москва,sale,flat,4,33,3,74.72,44301488.0,Пресненский,к2.3,к2.3,Белорусская,Репаблик ЖК,2025,"44,6 м²",-1
Москва,sale,flat,11,19,3,139.5,90000000.0,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха,,2019,80 м²,17 м²
Москва,sale,flat,8,17,3,142.1,91228200.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar,2024,"92,3 м²","8,2 м²"
Москва,sale,flat,3,14,3,72.0,38000000.0,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden,2023,50 м²,10 м²
Москва,sale,flat,3,6,3,138.0,129000000.0,Тверской,1-й Колобовский переулок,14,Трубная,,2005,-1,15 м²
Москва,sale,flat,4,5,2,41.0,18950000.0,Мещанский,Трифоновская ,55,Рижская,,1963,28 м²,6 м²
Москва,sale,flat,4,27,2,65.91,44571000.0,Крылатское,Крылатская ,23,Молодёжная,Дом Горизонтов,2027,"43,3 м²","17,6 м²"
Москва,sale,flat,5,24,2,75.0,48000000.0,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,Сердце Столицы,-1,38 м²,22 м²
Москва,sale,flat,4,44,2,60.0,39900000.0,Даниловский,Дубининская ,59А,Павелецкая,Павелецкая Сити,2023,40 м²,16 м²
Москва,sale,flat,2,11,2,47.0,25295400.0,,,В14 кв-л,Серебряный Бор,Сберсити ЖК,2026,"25,5 м²",6 м²
Москва,sale,flat,3,14,3,138.9,236130000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,-1,-1,-1
Москва,sale,flat,11,22,2,80.0,34899000.0,Черемушки,Севастопольский проспект,28к8,Зюзино,,2009,40 м²,"35,5 м²"
Москва,sale,flat,7,18,3,84.9,60621401.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,2028,-1,-1
Москва,sale,flat,14,15,3,133.91,227647000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы,2022,"98,9 м²",30 м²
Москва,sale,flat,6,12,3,120.9,72200000.0,Мещанский,Протопоповский переулок,17С2,Проспект Мира,,2004,93 м²,15 м²
Москва,sale,flat,2,6,3,118.66,195551680.0,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22,2024,48 м²,"32,6 м²"
Москва,sale,flat,27,53,3,124.0,118000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,2011,86 м²,"17,3 м²"
Москва,sale,flat,4,21,3,99.0,140000000.0,Якиманка,Донская ,14,Шаболовская,Медный 3.14,2021,58 м²,9 м²
Москва,sale,flat,9,28,3,87.7,32115301.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,2027,"57,7 м²",-1
